GSM	sample_id	group	assay	mark	track_type	title	status	bigwig_file	bigwig_size_bytes
GSM5688606	424	AML	WGBS	NA	WGBS	424_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688606_424_WGBS_DNMT3A.bw	166601
GSM4603056	472	AML	WGBS	NA	WGBS	472_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603056_472_WGBS_DNMT3A.bw	152406
GSM5688607	496	AML	WGBS	NA	WGBS	496_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688607_496_WGBS_DNMT3A.bw	165355
GSM5688608	504	AML	WGBS	NA	WGBS	504_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688608_504_WGBS_DNMT3A.bw	166305
GSM4603055	546	AML	WGBS	NA	WGBS	546_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603055_546_WGBS_DNMT3A.bw	150436
GSM4603052	566	AML	WGBS	NA	WGBS	566_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603052_566_WGBS_DNMT3A.bw	149090
GSM4603049	629	AML	WGBS	NA	WGBS	629_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603049_629_WGBS_DNMT3A.bw	169932
GSM4603051	773	AML	WGBS	NA	WGBS	773_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603051_773_WGBS_DNMT3A.bw	154683
GSM5688609	798	AML	WGBS	NA	WGBS	798_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688609_798_WGBS_DNMT3A.bw	166809
GSM5688610	838	AML	WGBS	NA	WGBS	838_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688610_838_WGBS_DNMT3A.bw	169628
GSM5688611	933	AML	WGBS	NA	WGBS	933_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM5688611_933_WGBS_DNMT3A.bw	168389
GSM4603047	103	PBMC	WGBS	NA	WGBS	103_WGBS	already_exists	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603047_103_WGBS_DNMT3A.bw	167846
GSM4603048	673	PBMC	WGBS	NA	WGBS	673_WGBS	success	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/WGBS/GSM4603048_673_WGBS_DNMT3A.bw	156273
