locus_id	sample_id	group	n_overlapping_peaks	peak_present	covered_bp	mean_RPGC
58	673	PBMC	1	TRUE	501	5.508799873664231
58	773	AML	0	FALSE	501	2.350757308586867
58	990	AML	0	FALSE	501	1.1049992357661387
59	018	AML	0	FALSE	501	0.4815782663113105
59	027	AML	0	FALSE	501	0.36261138325917747
59	103	PBMC	1	TRUE	501	1.9158333011729989
59	1360	AML	0	FALSE	501	0.8728197434705175
59	168	AML	0	FALSE	501	2.258343309699418
59	1916	AML	0	FALSE	501	1.6490047572853561
59	260	AML	0	FALSE	501	0.4209289436568757
59	270	AML	0	FALSE	501	3.46919100298853
59	472	AML	0	FALSE	501	3.1933233162124237
59	546	AML	0	FALSE	501	0.30354611673754844
59	566	AML	0	FALSE	501	2.4523045421836382
59	576	PBMC	0	FALSE	501	1.1111830870310466
59	629	AML	0	FALSE	501	1.7474577353148166
59	673	PBMC	0	FALSE	501	4.784150369153052
59	773	AML	0	FALSE	501	1.9316673511992433
59	990	AML	0	FALSE	501	1.6600111225645937
60	018	AML	0	FALSE	501	1.03320583945025
60	027	AML	0	FALSE	501	0
60	103	PBMC	1	TRUE	501	3.931155934543191
60	1360	AML	0	FALSE	501	1.475694082454293
60	168	AML	0	FALSE	501	1.308338469849851
60	1916	AML	0	FALSE	501	0.9496886097266527
60	260	AML	0	FALSE	501	0
60	270	AML	0	FALSE	501	3.0345059440521425
60	472	AML	0	FALSE	501	1.2928712567883338
60	546	AML	0	FALSE	501	4.252246970426061
60	566	AML	0	FALSE	501	3.6600186372707464
60	576	PBMC	1	TRUE	501	6.540913126901714
60	629	AML	0	FALSE	501	3.504001024478448
60	673	PBMC	1	TRUE	501	7.135097672125537
60	773	AML	0	FALSE	501	2.0135584857887374
60	990	AML	1	TRUE	501	9.138846633676998
61	018	AML	0	FALSE	501	1.7993523217960745
61	027	AML	0	FALSE	501	2.340487010940582
61	103	PBMC	0	FALSE	501	3.1096997886836646
61	1360	AML	0	FALSE	501	3.4215397794327576
61	168	AML	0	FALSE	501	1.1805606126309394
61	1916	AML	0	FALSE	501	1.4892844406668535
61	260	AML	0	FALSE	501	1.4541189684839306
61	270	AML	0	FALSE	501	2.7364387997610127
61	472	AML	0	FALSE	501	3.5112452768756004
61	546	AML	0	FALSE	501	3.5543487695400824
61	566	AML	0	FALSE	501	2.719660695203526
61	576	PBMC	1	TRUE	501	3.6840845815197913
61	629	AML	0	FALSE	501	3.8189673997208984
61	673	PBMC	0	FALSE	501	2.886106926286054
61	773	AML	0	FALSE	501	5.207312815679524
61	990	AML	1	TRUE	501	4.045805786660093
62	018	AML	0	FALSE	501	2.1714834405514534
62	027	AML	0	FALSE	501	1.7899772207180182
62	103	PBMC	0	FALSE	501	1.3780534714757802
62	1360	AML	0	FALSE	501	2.0920647513604687
62	168	AML	0	FALSE	501	2.6333460603169576
62	1916	AML	0	FALSE	501	1.5475607465603156
62	260	AML	0	FALSE	501	0.8418578873137514
62	270	AML	0	FALSE	501	1.4241063038032211
62	472	AML	0	FALSE	501	4.666351120153111
62	546	AML	0	FALSE	501	3.204102519505514
62	566	AML	1	TRUE	501	7.07803904177424
62	576	PBMC	0	FALSE	501	2.285462203377973
62	629	AML	0	FALSE	501	2.274420720850398
62	673	PBMC	0	FALSE	501	1.7335383116366145
62	773	AML	0	FALSE	501	3.1793029151276913
62	990	AML	0	FALSE	501	1.5771354182275708
63	018	AML	0	FALSE	501	0.6260521859228017
63	027	AML	0	FALSE	501	0
63	103	PBMC	0	FALSE	501	1.8620546642177833
63	1360	AML	0	FALSE	501	1.6084165294727166
63	168	AML	0	FALSE	501	1.605562213890091
63	1916	AML	0	FALSE	501	2.3310538489899475
63	260	AML	0	FALSE	501	0.7729786056244444
63	270	AML	0	FALSE	501	1.490344867021024
63	472	AML	0	FALSE	501	1.7556220759412724
63	546	AML	0	FALSE	501	3.769685725727957
63	566	AML	1	TRUE	501	2.171119593812558
63	576	PBMC	0	FALSE	501	1.0901512304941814
63	629	AML	0	FALSE	501	2.871039718924882
63	673	PBMC	1	TRUE	501	4.184439501124704
63	773	AML	0	FALSE	501	2.5675279304176986
63	990	AML	0	FALSE	501	1.7378639032740792
64	018	AML	0	FALSE	501	1.2345915554526323
64	027	AML	0	FALSE	501	2.696505284832861
64	103	PBMC	0	FALSE	501	0.5915547131064409
64	1360	AML	0	FALSE	501	1.3699664519932455
64	168	AML	0	FALSE	501	1.844452675707088
64	1916	AML	0	FALSE	501	0.23742214886252275
64	260	AML	0	FALSE	501	0
64	270	AML	1	TRUE	501	3.6058045090315582
64	472	AML	0	FALSE	501	0.9820169655386797
64	546	AML	0	FALSE	501	0.4099169781583988
64	566	AML	0	FALSE	501	1.4312795041326039
64	576	PBMC	0	FALSE	501	1.542336146036784
64	629	AML	0	FALSE	501	2.0321388970354124
64	673	PBMC	1	TRUE	501	2.5383591877962064
64	773	AML	0	FALSE	501	1.4884917993031577
64	990	AML	0	FALSE	501	0.577613377047632
65	018	AML	0	FALSE	501	0
65	027	AML	0	FALSE	501	1.4702211378101342
65	103	PBMC	1	TRUE	501	1.868777271516309
65	1360	AML	0	FALSE	501	2.1415548681499
65	168	AML	0	FALSE	501	0.958337729086657
65	1916	AML	0	FALSE	501	2.0418305111502457
65	260	AML	0	FALSE	501	0.8418578873137514
65	270	AML	0	FALSE	501	0
65	472	AML	0	FALSE	501	0.7947979037633199
65	546	AML	0	FALSE	501	3.21188561502331
65	566	AML	1	TRUE	501	4.081799019358591
65	576	PBMC	0	FALSE	501	0.385584036509196
65	629	AML	0	FALSE	501	2.652986079632879
65	673	PBMC	1	TRUE	501	5.803449497489396
65	773	AML	0	FALSE	501	1.0597676240993354
65	990	AML	0	FALSE	501	1.017101921007305
66	018	AML	0	FALSE	501	1.3571769129968212
66	027	AML	0	FALSE	501	0.13515515194205704
66	103	PBMC	1	TRUE	501	2.8972767047777386
66	1360	AML	0	FALSE	501	3.4867776629929534
66	168	AML	0	FALSE	501	1.2638936594812693
66	1916	AML	0	FALSE	501	0.7122664465875683
66	260	AML	0	FALSE	501	0
66	270	AML	1	TRUE	501	3.1876798827729065
66	472	AML	0	FALSE	501	2.63166697938999
66	546	AML	0	FALSE	501	2.5477160084509327
66	566	AML	1	TRUE	501	5.324080307326631
66	576	PBMC	0	FALSE	501	0.8482848803202311
66	629	AML	0	FALSE	501	2.1502512895656443
66	673	PBMC	1	TRUE	501	3.654486360902082
66	773	AML	1	TRUE	501	7.697770434701276
66	990	AML	0	FALSE	501	3.8273219791001187
67	018	AML	0	FALSE	501	0.24516711739484898
67	027	AML	0	FALSE	501	0.7252211675434531
67	103	PBMC	0	FALSE	501	2.61628820201356
67	1360	AML	0	FALSE	501	1.7996266502106262
67	168	AML	2	TRUE	501	3.5847396855344793
67	1916	AML	0	FALSE	501	1.236753563443106
67	260	AML	0	FALSE	501	1.6684100670728854
67	270	AML	0	FALSE	501	2.4218111504575686
67	472	AML	0	FALSE	501	1.4659615655145246
67	546	AML	0	FALSE	501	3.59845318028075
67	566	AML	1	TRUE	501	4.927659949380718
67	576	PBMC	0	FALSE	501	0.771168073018392
67	629	AML	0	FALSE	501	0.9994125723124978
67	673	PBMC	1	TRUE	501	5.90131754551581
67	773	AML	0	FALSE	501	1.589651445666711
67	990	AML	0	FALSE	501	2.3355700084549222
68	018	AML	0	FALSE	501	0.9544019346941492
68	027	AML	0	FALSE	501	1.348254292786954
68	103	PBMC	0	FALSE	501	1.5877886594174626
68	1360	AML	1	TRUE	501	3.4080427899332104
68	168	AML	0	FALSE	501	1.0958379528479663
68	1916	AML	0	FALSE	501	0.8007601566181449
68	260	AML	0	FALSE	501	3.0574763806280263
68	270	AML	0	FALSE	501	3.332578432536173
68	472	AML	0	FALSE	501	2.2925505954586343
68	546	AML	0	FALSE	501	4.005776495276811
68	566	AML	1	TRUE	501	5.1512250129334225
68	576	PBMC	0	FALSE	501	3.3686049346200484
68	629	AML	0	FALSE	501	2.201736167043507
68	673	PBMC	2	TRUE	501	4.587369816745826
68	773	AML	0	FALSE	501	3.1311316261748354
68	990	AML	0	FALSE	501	3.2823544562219857
69	018	AML	0	FALSE	501	0.5253581087032478
69	027	AML	0	FALSE	501	0.49776573571378363
69	103	PBMC	0	FALSE	501	3.3638002332337127
69	1360	AML	0	FALSE	501	2.43399469771547
69	168	AML	0	FALSE	501	0.3625016783525844
69	1916	AML	0	FALSE	501	0.9065209320205414
69	260	AML	0	FALSE	501	0.8418578873137514
69	270	AML	1	TRUE	501	7.0128987915739565
69	472	AML	0	FALSE	501	3.3911398689665955
69	546	AML	0	FALSE	501	1.1700794756293535
69	566	AML	0	FALSE	501	4.526625819786818
69	576	PBMC	0	FALSE	501	1.6860538323720295
69	629	AML	0	FALSE	501	1.547575216093463
69	673	PBMC	0	FALSE	501	4.626933487589488
69	773	AML	0	FALSE	501	1.64263981735397
69	990	AML	0	FALSE	501	1.082397019553803
70	018	AML	0	FALSE	501	1.5804541091957016
70	027	AML	0	FALSE	501	2.2020357164318214
70	103	PBMC	0	FALSE	501	2.8892109874717726
70	1360	AML	0	FALSE	501	2.5982115056938277
70	168	AML	0	FALSE	501	4.419466051988735
70	1916	AML	0	FALSE	501	1.0683996698813525
70	260	AML	0	FALSE	501	0.1186254295760286
70	270	AML	0	FALSE	501	4.239203807122693
70	472	AML	0	FALSE	501	2.8330143549723066
70	546	AML	0	FALSE	501	1.6811804676246263
70	566	AML	1	TRUE	501	10.115767813014413
70	576	PBMC	0	FALSE	501	3.3966468646378813
70	629	AML	0	FALSE	501	1.9443117149337799
70	673	PBMC	0	FALSE	501	6.907083737873983
70	773	AML	0	FALSE	501	4.05120268029843
70	990	AML	1	TRUE	501	4.156310493122794
71	018	AML	0	FALSE	501	0.7967949503672099
71	027	AML	0	FALSE	501	5.603982617041308
71	103	PBMC	1	TRUE	501	4.950244776503054
71	1360	AML	0	FALSE	501	5.338139270831963
71	168	AML	0	FALSE	501	1.977786673281245
71	1916	AML	0	FALSE	501	3.5246398120583176
71	260	AML	0	FALSE	501	2.9465056036760706
71	270	AML	0	FALSE	501	3.3325760245561122
71	472	AML	0	FALSE	501	3.8220987391329095
71	546	AML	0	FALSE	501	0.4202946231750671
71	566	AML	1	TRUE	501	9.272212530086616
71	576	PBMC	1	TRUE	501	17.105925910249205
71	629	AML	0	FALSE	501	4.457985172728579
71	673	PBMC	1	TRUE	501	5.855507854454056
71	773	AML	1	TRUE	501	12.45227429110133
71	990	AML	1	TRUE	501	24.531016010962084
72	018	AML	0	FALSE	501	0
72	027	AML	1	TRUE	501	5.874293253093422
72	103	PBMC	0	FALSE	501	1.923898781963927
72	1360	AML	0	FALSE	501	1.5769245950523727
72	168	AML	0	FALSE	501	1.4305620659849125
72	1916	AML	0	FALSE	501	1.3597813980308122
72	260	AML	0	FALSE	501	0.7653253521034104
72	270	AML	0	FALSE	501	0.9521644558021408
72	472	AML	0	FALSE	501	3.6454754432518324
72	546	AML	0	FALSE	501	4.721835409095902
72	566	AML	0	FALSE	501	2.770367086528542
72	576	PBMC	0	FALSE	501	0.385584036509196
72	629	AML	0	FALSE	501	0.7601592595467787
72	673	PBMC	1	TRUE	501	3.9179017374853413
72	773	AML	0	FALSE	501	0.5298838120496677
72	990	AML	0	FALSE	501	1.634898017504496
73	018	AML	0	FALSE	501	5.288613412670508
73	027	AML	0	FALSE	501	2.745950843997582
73	103	PBMC	0	FALSE	501	2.3231999234049145
73	1360	AML	0	FALSE	501	3.2190833094115265
73	168	AML	0	FALSE	501	0.9875031916681164
73	1916	AML	0	FALSE	501	2.451923349422371
73	260	AML	0	FALSE	501	0
73	270	AML	0	FALSE	501	0.6126963564021859
73	472	AML	1	TRUE	501	3.8079674281997833
73	546	AML	0	FALSE	501	4.192571530085124
73	566	AML	0	FALSE	501	2.537583916011209
73	576	PBMC	0	FALSE	501	2.141744057337443
73	629	AML	0	FALSE	501	2.974009516710293
