GSM	sample_id	group	assay	mark	track_type	status	n_intervals	file_size_bytes	elapsed_seconds	output_file	error_message	fname	url	GSE	title
GSM4604210	546	AML	CUT&Tag	CTCF	CTCF	success	7540	319401	1.3747551441192627	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604210_546_CTCF_DNMT3A.bedGraph	NA	GSM4604210_546_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604210/suppl//GSM4604210_546_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	546_CUT&TAG_CTCF
GSM4604206	629	AML	CUT&Tag	CTCF	CTCF	success	21707	920116	1.3185319900512695	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604206_629_CTCF_DNMT3A.bedGraph	NA	GSM4604206_629_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604206/suppl//GSM4604206_629_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	629_CUT&TAG_CTCF
GSM4604208	773	AML	CUT&Tag	CTCF	CTCF	success	9728	411089	1.449174165725708	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604208_773_CTCF_DNMT3A.bedGraph	NA	GSM4604208_773_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604208/suppl//GSM4604208_773_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	773_CUT&TAG_CTCF
GSM4604204	103	PBMC	CUT&Tag	CTCF	CTCF	success	8246	351589	1.4413840770721436	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/CTCF/GSM4604204_103_CTCF_DNMT3A.bedGraph	NA	GSM4604204_103_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604204/suppl//GSM4604204_103_CUT_TAG_CTCF.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	103_CUT&TAG_CTCF
GSM4604185	018	AML	CUT&Tag	H3K27ac	H3K27ac	success	10682	453176	1.5963540077209473	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604185_018_H3K27ac_DNMT3A.bedGraph	NA	GSM4604185_018_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604185/suppl//GSM4604185_018_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	018_CUT&TAG_H3K27ac
GSM4604191	027	AML	CUT&Tag	H3K27ac	H3K27ac	success	17277	730536	1.4690749645233154	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604191_027_H3K27ac_DNMT3A.bedGraph	NA	GSM4604191_027_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604191/suppl//GSM4604191_027_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	027_CUT&TAG_H3K27ac
GSM4604189	1360	AML	CUT&Tag	H3K27ac	H3K27ac	success	30290	1273546	1.5493969917297363	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604189_1360_H3K27ac_DNMT3A.bedGraph	NA	GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604189/suppl//GSM4604189_1360_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1360_CUT&TAG_H3K27ac
GSM4604190	168	AML	CUT&Tag	H3K27ac	H3K27ac	success	16106	685398	1.6005377769470215	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604190_168_H3K27ac_DNMT3A.bedGraph	NA	GSM4604190_168_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604190/suppl//GSM4604190_168_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	168_CUT&TAG_H3K27ac
GSM4604187	1916	AML	CUT&Tag	H3K27ac	H3K27ac	success	24175	1017576	1.3296549320220947	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604187_1916_H3K27ac_DNMT3A.bedGraph	NA	GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604187/suppl//GSM4604187_1916_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	1916_CUT&TAG_H3K27ac
GSM4604183	270	AML	CUT&Tag	H3K27ac	H3K27ac	success	7483	317707	1.4676141738891602	C:/Users/Wolff/OneDrive - Universität Salzburg/Scripts_Computing/R/GSE152136_DNMT3A/tracks/regional_1d/H3K27ac/GSM4604183_270_H3K27ac_DNMT3A.bedGraph	NA	GSM4604183_270_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604183/suppl//GSM4604183_270_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270_CUT&TAG_H3K27ac
