GSM	fname	url	GSE	sample_id	group	assay	mark	title
GSM5688606	GSM5688606_allc_424.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688606/suppl//GSM5688606_allc_424.CGN.10bp.bw	GSE152099	424	AML	WGBS	NA	424_WGBS
GSM5688607	GSM5688607_allc_496.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688607/suppl//GSM5688607_allc_496.CGN.10bp.bw	GSE152099	496	AML	WGBS	NA	496_WGBS
GSM5688608	GSM5688608_allc_504.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688608/suppl//GSM5688608_allc_504.CGN.10bp.bw	GSE152099	504	AML	WGBS	NA	504_WGBS
GSM5688609	GSM5688609_allc_798.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688609/suppl//GSM5688609_allc_798.CGN.10bp.bw	GSE152099	798	AML	WGBS	NA	798_WGBS
GSM5688610	GSM5688610_allc_838.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688610/suppl//GSM5688610_allc_838.CGN.10bp.bw	GSE152099	838	AML	WGBS	NA	838_WGBS
GSM5688611	GSM5688611_allc_933.CGN.10bp.bw	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5688nnn/GSM5688611/suppl//GSM5688611_allc_933.CGN.10bp.bw	GSE152099	933	AML	WGBS	NA	933_WGBS
GSM4604180	GSM4604180_103_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604180/suppl//GSM4604180_103_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	103	PBMC	CUT&Tag	H3K27ac	103_CUT&TAG_H3K27ac
GSM4604180	GSM4604180_103_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604180/suppl//GSM4604180_103_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	103	PBMC	CUT&Tag	H3K27ac	103_CUT&TAG_H3K27ac
GSM4604181	GSM4604181_673_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604181/suppl//GSM4604181_673_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	673	PBMC	CUT&Tag	H3K27ac	673_CUT&TAG_H3K27ac
GSM4604181	GSM4604181_673_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604181/suppl//GSM4604181_673_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	673	PBMC	CUT&Tag	H3K27ac	673_CUT&TAG_H3K27ac
GSM4604182	GSM4604182_629_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604182/suppl//GSM4604182_629_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	629	AML	CUT&Tag	H3K27ac	629_CUT&TAG_H3K27ac
GSM4604182	GSM4604182_629_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604182/suppl//GSM4604182_629_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	629	AML	CUT&Tag	H3K27ac	629_CUT&TAG_H3K27ac
GSM4604183	GSM4604183_270_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604183/suppl//GSM4604183_270_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	270	AML	CUT&Tag	H3K27ac	270_CUT&TAG_H3K27ac
GSM4604183	GSM4604183_270_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604183/suppl//GSM4604183_270_CUT_TAG_H3K27ac.MACS2.nodup_x_ctl.pval.signal.bigwig	GSE152132	270	AML	CUT&Tag	H3K27ac	270_CUT&TAG_H3K27ac
GSM4604184	GSM4604184_773_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4604nnn/GSM4604184/suppl//GSM4604184_773_CUT_TAG_H3K27ac.MACS2.filt.peaks.txt.gz	GSE152132	773	AML	CUT&Tag	H3K27ac	773_CUT&TAG_H3K27ac
